                             domain                              |         status          | count  
 www.endocrine-abstracts.org                                     |                         |   1907
 www.endocrine-abstracts.org                                     | no-pdf-link             |   1905
 www.eurekaselect.com                                            |                         |    285
 www.eurekaselect.com                                            | link-loop               |    246
 www.even3.com.br                                                |                         |    233
 www.frontiersin.org                                             |                         |    585
 www.frontiersin.org                                             | spn2-backoff            |    436
 www.humankineticslibrary.com                                    | no-pdf-link             |    207
 www.humankineticslibrary.com                                    |                         |    207
 www.igi-global.com                                              |                         |   1600
 www.igi-global.com                                              | no-pdf-link             |   1199
 www.igi-global.com                                              | bad-redirect            |    258
 www.inderscience.com                                            |                         |    385
 www.inderscience.com                                            | no-pdf-link             |    365
 www.inderscienceonline.com                                      |                         |    202
 www.ingentaconnect.com                                          |                         |    450
 www.ingentaconnect.com                                          | no-pdf-link             |    260
 www.jstage.jst.go.jp                                            |                         |   1248
 www.jstage.jst.go.jp                                            | success                 |    870
 www.karger.com                                                  |                         |    313
 www.liebertpub.com                                              |                         |    271
 www.liebertpub.com                                              | no-pdf-link             |    241
 www.nicecjournal.co.uk                                          |                         |    274
 www.nicecjournal.co.uk                                          | success                 |    274
 www.nomos-elibrary.de                                           |                         |   1771
 www.nomos-elibrary.de                                           | no-pdf-link             |    788
 www.nomos-elibrary.de                                           | redirect-loop           |    506
 www.nomos-elibrary.de                                           | bad-redirect            |    207
 www.osti.gov                                                    |                         |    381
 www.osti.gov                                                    | link-loop               |    326
 www.persee.fr                                                   |                         |    277
 www.preprints.org                                               |                         |    225
 www.preprints.org                                               | success                 |    225
 www.protocols.io                                                |                         |    770
 www.protocols.io                                                | success                 |    485
 www.repository.cam.ac.uk                                        |                         |    510
 www.repository.cam.ac.uk                                        | bad-redirect            |    213
 www.research-collection.ethz.ch                                 |                         |    416
 www.research-collection.ethz.ch                                 | bad-redirect            |    249
 www.researchsquare.com                                          |                         |   1121
 www.researchsquare.com                                          | bad-redirect            |    985
 www.scielo.br                                                   |                         |    828
 www.scielo.br                                                   | success                 |    641
 www.sciencedirect.com                                           |                         |   8567
 www.sciencedirect.com                                           | terminal-bad-status     |   5773
 www.sciencedirect.com                                           | spn2-wayback-error      |   1590
 www.sciencedirect.com                                           | no-pdf-link             |    576
 www.sciencedirect.com                                           | spn2-backoff            |    479
 www.sciendo.com                                                 |                         |    257
 www.sciendo.com                                                 | success                 |    222
 www.scitepress.org                                              |                         |    381
 www.scitepress.org                                              | no-pdf-link             |    377
 www.spiedigitallibrary.org                                      |                         |   1061
 www.spiedigitallibrary.org                                      | bad-redirect            |    571
 www.spiedigitallibrary.org                                      | gateway-timeout         |    233
 www.tandfonline.com                                             |                         |   4934
 www.tandfonline.com                                             | no-pdf-link             |   2088
 www.tandfonline.com                                             | terminal-bad-status     |   1282
 www.tandfonline.com                                             | blocked-cookie          |    757
 www.tandfonline.com                                             | redirect-loop           |    488
 www.tandfonline.com                                             | spn2-wayback-error      |    202
 www.taylorfrancis.com                                           |                         |   3979
 www.taylorfrancis.com                                           | link-loop               |   1928
 www.taylorfrancis.com                                           | no-pdf-link             |   1840
 www.techniques-ingenieur.fr                                     |                         |    354
 www.techniques-ingenieur.fr                                     | no-pdf-link             |    353
 www.thieme-connect.de                                           |                         |   1987
 www.thieme-connect.de                                           | no-pdf-link             |    949
 www.thieme-connect.de                                           | link-loop               |    869
 www.tib.eu                                                      | no-pdf-link             |    315
 www.tib.eu                                                      |                         |    315
 www.un-ilibrary.org                                             | no-pdf-link             |    352
 www.un-ilibrary.org                                             |                         |    352
 www.worldscientific.com                                         |                         |    668
 www.worldscientific.com                                         | no-pdf-link             |    629
 www.zora.uzh.ch                                                 |                         |    318
 zenodo.org                                                      |                         |  46585
 zenodo.org                                                      | no-pdf-link             |  29519
 zenodo.org                                                      | success                 |  14768
 zenodo.org                                                      | terminal-bad-status     |    810
 zenodo.org                                                      | wrong-mimetype          |    691
 zenodo.org                                                      | spn2-cdx-lookup-failure |    395
 zenodo.org                                                      | spn2-backoff            |    294
 zivahub.uct.ac.za                                               |                         |   1909
 zivahub.uct.ac.za                                               | no-pdf-link             |   1880
 zop.zb.uzh.ch                                                   |                         |    228
 zop.zb.uzh.ch                                                   | success                 |    217
                                                                 |                         | 365582
                                                                 | success                 | 141497  38.7%
                                                                 | no-pdf-link             | 120852  33.0%
                                                                 | terminal-bad-status     |  31900   8.7%
                                                                 | spn2-backoff            |  16979   4.6%
                                                                 | link-loop               |  13624   3.7%
                                                                 | bad-redirect            |   8736
                                                                 | redirect-loop           |   7405
                                                                 | gateway-timeout         |   6997
                                                                 | spn2-cdx-lookup-failure |   5146
                                                                 | spn2-wayback-error      |   3708
                                                                 | wrong-mimetype          |   2158
                                                                 | blocked-cookie          |   1942
                                                                 | spn2-error:blocked-url  |   1733
                                                                 | wayback-error           |   1063
                                                                 | spn2-error              |    647
                                                                 | spn2-error:500          |    265
                                                                 | cdx-error               |    257
(383 rows)

----

365k in 7 days is about 52k a day, which is about expected. Around 5-7% need
retries.

important changes:
- biorxiv.org: needs fix and then retries
- academic.oup.com: should probably skip
- apps.crossref.org: need to handle this in code
- arxiv.org: should retry `terminal-bad-status` on PDFs; should also add support to extract PDF link from `/abs/`
- doi.org: investigate redirect-loop and terminal-bad-status
- osf.io: not getting PDFs
- papers.ssrn.com: why are these attempted?
- publons.com: not getting PDFs; special case these?
- www.sciencedirect.com: not working at all?

smaller:
- bridges.monash.edu: fix, then retry?
- dl.acm.org: some broader retries?
- figshare.com: still some attempts, but almost all no-pdf-link
- onlinelibrary.wiley.com: getting blocked broadly?
- www.endocrine-abstracts.org: HTML content?
- www.igi-global.com: no-pdf-link
