                domain                 |         status          | count  
 www.ajol.info                         | success                 |    575
 www.ams.org                           |                         |    868
 www.ams.org                           | terminal-bad-status     |    666
 www.atlantis-press.com                |                         |   1579
 www.atlantis-press.com                | success                 |   1071
 www.bloomsburycollections.com         |                         |   1745
 www.bloomsburycollections.com         | no-pdf-link             |   1571
 www.brazilianjournals.com             |                         |   1385
 www.brazilianjournals.com             | success                 |   1107
 www.cairn.info                        |                         |   2479
 www.cairn.info                        | no-pdf-link             |    818
 www.cairn.info                        | link-loop               |    790
 www.cambridge.org                     |                         |   6801
 www.cambridge.org                     | no-pdf-link             |   2990
 www.cambridge.org                     | spn2-wayback-error      |   1475
 www.cambridge.org                     | link-loop               |    940
 www.cambridge.org                     | success                 |    863
 www.cureus.com                        |                         |    538
 www.dbpia.co.kr                       |                         |   2958
 www.dbpia.co.kr                       | redirect-loop           |   2953
 www.degruyter.com                     |                         |  58612
 www.degruyter.com                     | no-pdf-link             |  41065
 www.degruyter.com                     | spn2-wayback-error      |   7426
 www.degruyter.com                     | success                 |   6628
 www.degruyter.com                     | spn2-cdx-lookup-failure |   1624
 www.degruyter.com                     | terminal-bad-status     |   1565
 www.dovepress.com                     |                         |    869
 www.dovepress.com                     | success                 |    597
 www.e-manuscripta.ch                  |                         |   1047
 www.e3s-conferences.org               |                         |    817
 www.e3s-conferences.org               | success                 |    606
 www.elgaronline.com                   |                         |    535
 www.elibrary.ru                       |                         |   1244
 www.elibrary.ru                       | no-pdf-link             |   1159
 www.emc2020.eu                        |                         |    791
 www.emc2020.eu                        | no-pdf-link             |    748
 www.emerald.com                       |                         |   2420
 www.emerald.com                       | no-pdf-link             |   1986
 www.eurekaselect.com                  |                         |    540
 www.eurosurveillance.org              |                         |    786
 www.eurosurveillance.org              | success                 |    710
 www.finersistemas.com                 |                         |   1220
 www.finersistemas.com                 | success                 |   1214
 www.frontiersin.org                   |                         |    915
 www.frontiersin.org                   | spn2-wayback-error      |    602
 www.hanspub.org                       |                         |    618
 www.humankineticslibrary.com          |                         |   1122
 www.humankineticslibrary.com          | no-pdf-link             |    985
 www.ijcmas.com                        |                         |    513
 www.inderscience.com                  |                         |   1532
 www.inderscience.com                  | no-pdf-link             |   1217
 www.indianjournals.com                |                         |    904
 www.ingentaconnect.com                |                         |    885
 www.ingentaconnect.com                | no-pdf-link             |    783
 www.journals.uchicago.edu             |                         |   6055
 www.journals.uchicago.edu             | blocked-cookie          |   5927
 www.journals.vu.lt                    |                         |    791
 www.journals.vu.lt                    | success                 |    545
 www.jstage.jst.go.jp                  |                         |   1490
 www.jstage.jst.go.jp                  | remote-server-error     |   1023
 www.jstor.org                         |                         |   1103
 www.jstor.org                         | redirect-loop           |    553
 www.karger.com                        |                         |    733
 www.liebertpub.com                    |                         |    804
 www.liebertpub.com                    | blocked-cookie          |    714
 www.liverpooluniversitypress.co.uk    |                         |    620
 www.liverpooluniversitypress.co.uk    | too-many-redirects      |    529
 www.mdpi.com                          |                         |   3880
 www.mdpi.com                          | spn2-wayback-error      |   1651
 www.mdpi.com                          | forbidden               |   1282
 www.mdpi.com                          | spn2-cdx-lookup-failure |    714
 www.nepjol.info                       |                         |    596
 www.nomos-elibrary.de                 |                         |   2235
 www.nomos-elibrary.de                 | no-pdf-link             |   1128
 www.nomos-elibrary.de                 | spn2-wayback-error      |    559
 www.oecd-ilibrary.org                 |                         |   3046
 www.oecd-ilibrary.org                 | no-pdf-link             |   2869
 www.osapublishing.org                 |                         |    821
 www.osapublishing.org                 | no-pdf-link             |    615
 www.osti.gov                          |                         |   1147
 www.osti.gov                          | link-loop               |    902
 www.oxfordscholarlyeditions.com       |                         |    759
 www.oxfordscholarlyeditions.com       | no-pdf-link             |    719
 www.preprints.org                     |                         |    783
 www.preprints.org                     | success                 |    595
 www.repository.cam.ac.uk              |                         |   1146
 www.research-collection.ethz.ch       |                         |    704
 www.research-collection.ethz.ch       | terminal-bad-status     |    684
 www.researchsquare.com                |                         |    853
 www.researchsquare.com                | spn2-wayback-error      |    515
 www.schweizerbart.de                  |                         |    730
 www.schweizerbart.de                  | no-pdf-link             |    653
 www.scielo.br                         |                         |   1777
 www.scielo.br                         | success                 |   1167
 www.sciencedirect.com                 |                         |  14757
 www.sciencedirect.com                 | no-pdf-link             |  12733
 www.sciencedirect.com                 | spn2-wayback-error      |   1503
 www.sciendo.com                       |                         |   1955
 www.sciendo.com                       | no-pdf-link             |   1176
 www.scilook.eu                        |                         |    812
 www.scilook.eu                        | success                 |    563
 www.scirp.org                         |                         |    749
 www.tandfonline.com                   |                         |  11038
 www.tandfonline.com                   | blocked-cookie          |   9994
 www.tandfonline.com                   | no-pdf-link             |    663
 www.taylorfrancis.com                 |                         |  71514
 www.taylorfrancis.com                 | spn2-wayback-error      |  36663
 www.taylorfrancis.com                 | no-pdf-link             |  15098
 www.taylorfrancis.com                 | forbidden               |   8699
 www.taylorfrancis.com                 | spn2-cdx-lookup-failure |   6894
 www.taylorfrancis.com                 | link-loop               |   3661
 www.thieme-connect.de                 |                         |   3687
 www.thieme-connect.de                 | redirect-loop           |   1187
 www.thieme-connect.de                 | not-found               |    945
 www.thieme-connect.de                 | no-pdf-link             |    941
 www.worldscientific.com               |                         |   1476
 www.worldscientific.com               | blocked-cookie          |   1323
 www.zora.uzh.ch                       |                         |   1118
 zenodo.org                            |                         |  43010
 zenodo.org                            | no-pdf-link             |  22015
 zenodo.org                            | success                 |  12747
 zenodo.org                            | spn2-wayback-error      |   4608
 zenodo.org                            | spn2-cdx-lookup-failure |   3215
                                       |                         | 725990
                                       | no-pdf-link             | 209933
                                       | success                 | 206134
                                       | spn2-wayback-error      | 127015
                                       | spn2-cdx-lookup-failure |  53384
                                       | blocked-cookie          |  35867
                                       | link-loop               |  25834
                                       | too-many-redirects      |  16430
                                       | redirect-loop           |  14648
                                       | forbidden               |  13794
                                       | terminal-bad-status     |   8055
                                       | not-found               |   6399
                                       | remote-server-error     |   2402
                                       | wrong-mimetype          |   2011
                                       | spn2-error:unauthorized |    912
                                       | bad-redirect            |    555
                                       | read-timeout            |    530
(341 rows)

