                domain                |         status          | count  
 papers.ssrn.com                      |                         |   2207
 papers.ssrn.com                      | spn2-cdx-lookup-failure |   1727
 papers.ssrn.com                      | link-loop               |    457
 psycharchives.org                    |                         |    384
 psycharchives.org                    | spn2-cdx-lookup-failure |    283
 publons.com                          |                         |    493
 publons.com                          | spn2-cdx-lookup-failure |    348
 pubs.acs.org                         |                         |   1240
 pubs.acs.org                         | spn2-cdx-lookup-failure |    881
 pubs.acs.org                         | terminal-bad-status     |    298
 pubs.rsc.org                         |                         |    603
 pubs.rsc.org                         | spn2-cdx-lookup-failure |    460
 repositories.lib.utexas.edu          |                         |   1861
 repositories.lib.utexas.edu          | spn2-cdx-lookup-failure |   1288
 repositories.lib.utexas.edu          | terminal-bad-status     |    523
 s3-eu-west-1.amazonaws.com           |                         |    216
 sage.figshare.com                    |                         |    374
 sage.figshare.com                    | spn2-cdx-lookup-failure |    309
 scholar.dkyobobook.co.kr             |                         |    220
 scholarworks.gsu.edu                 |                         |    749
 scholarworks.gsu.edu                 | spn2-cdx-lookup-failure |    577
 tandf.figshare.com                   |                         |    214
 www.atlantis-press.com               |                         |    338
 www.atlantis-press.com               | spn2-cdx-lookup-failure |    214
 www.cairn.info                       |                         |    782
 www.cairn.info                       | spn2-cdx-lookup-failure |    541
 www.cambridge.org                    |                         |   2325
 www.cambridge.org                    | spn2-cdx-lookup-failure |   1787
 www.cambridge.org                    | no-pdf-link             |    300
 www.cell.com                         |                         |    213
 www.concrete.org                     |                         |    476
 www.concrete.org                     | spn2-cdx-lookup-failure |    340
 www.dbpia.co.kr                      |                         |    375
 www.dbpia.co.kr                      | spn2-cdx-lookup-failure |    275
 www.degruyter.com                    |                         |   3849
 www.degruyter.com                    | spn2-cdx-lookup-failure |   2969
 www.degruyter.com                    | no-pdf-link             |    712
 www.dib.ie                           |                         |   1100
 www.dib.ie                           | spn2-cdx-lookup-failure |   1038
 www.e-periodica.ch                   |                         |    821
 www.e-periodica.ch                   | spn2-cdx-lookup-failure |    620
 www.e-periodica.ch                   | no-pdf-link             |    201
 www.elibrary.ru                      |                         |    401
 www.elibrary.ru                      | spn2-cdx-lookup-failure |    281
 www.emerald.com                      |                         |    390
 www.emerald.com                      | spn2-cdx-lookup-failure |    275
 www.eurekaselect.com                 |                         |    275
 www.frontiersin.org                  |                         |   1266
 www.frontiersin.org                  | spn2-cdx-lookup-failure |   1025
 www.hanspub.org                      |                         |    229
 www.hindawi.com                      |                         |    604
 www.hindawi.com                      | spn2-cdx-lookup-failure |    594
 www.inderscience.com                 |                         |    201
 www.jstage.jst.go.jp                 |                         |   1094
 www.jstage.jst.go.jp                 | spn2-cdx-lookup-failure |    807
 www.jstage.jst.go.jp                 | success                 |    206
 www.mdpi.com                         |                         |   4340
 www.mdpi.com                         | spn2-cdx-lookup-failure |   4258
 www.nomos-elibrary.de                |                         |   2749
 www.nomos-elibrary.de                | spn2-cdx-lookup-failure |   1909
 www.nomos-elibrary.de                | redirect-loop           |    819
 www.osti.gov                         |                         |    275
 www.oxfordhandbooks.com              |                         |    248
 www.oxfordhandbooks.com              | spn2-cdx-lookup-failure |    224
 www.pdcnet.org                       |                         |    217
 www.researchsquare.com               |                         |    483
 www.researchsquare.com               | spn2-cdx-lookup-failure |    317
 www.scielo.br                        |                         |    319
 www.scielo.br                        | spn2-cdx-lookup-failure |    222
 www.sciencedirect.com                |                         |   3384
 www.sciencedirect.com                | spn2-cdx-lookup-failure |   3267
 www.spiedigitallibrary.org           |                         |    441
 www.spiedigitallibrary.org           | spn2-cdx-lookup-failure |    327
 www.tandfonline.com                  |                         |   2401
 www.tandfonline.com                  | spn2-cdx-lookup-failure |   1552
 www.tandfonline.com                  | no-pdf-link             |    303
 www.tandfonline.com                  | blocked-cookie          |    250
 www.taylorfrancis.com                |                         |   1232
 www.taylorfrancis.com                | spn2-cdx-lookup-failure |    908
 www.thieme-connect.de                |                         |    520
 www.thieme-connect.de                | spn2-cdx-lookup-failure |    366
 www.worldscientific.com              |                         |    383
 www.worldscientific.com              | spn2-cdx-lookup-failure |    276
 zenodo.org                           |                         |  10625
 zenodo.org                           | spn2-cdx-lookup-failure |   7777
 zenodo.org                           | success                 |   1574
 zenodo.org                           | no-pdf-link             |   1160
 zivahub.uct.ac.za                    |                         |   3428
 zivahub.uct.ac.za                    | spn2-cdx-lookup-failure |   2845
 zivahub.uct.ac.za                    | no-pdf-link             |    583
                                      |                         | 130491
                                      | spn2-cdx-lookup-failure |  95169
                                      | success                 |  13354
                                      | no-pdf-link             |   9621
                                      | terminal-bad-status     |   3385
                                      | spn2-backoff            |   2396
                                      | redirect-loop           |   2216
                                      | link-loop               |   1850
                                      | gateway-timeout         |   1061
                                      | spn2-error:blocked-url  |    428
                                      | blocked-cookie          |    415
                                      | spn2-error              |    246
(182 rows)

----

The overwhelming thing is `spn2-cdx-lookup-failure`. Should check in after a
week or two, when crawling and retries are running smoothly, and see what
things look like then.
