 doi_prefix |            status             | count  
 10.24355   |                               |  15360
 10.24355   | no-pdf-link                   |  15228
 10.24411   |                               |   1506
 10.24411   | forbidden                     |    823
 10.24411   | redirect-loop                 |    647
 10.25335   |                               |    550
 10.25335   | no-pdf-link                   |    550
 10.25365   |                               |    429
 10.25365   | success                       |    424
 10.25384   |                               |    338
 10.25384   | success                       |    249
 10.25646   |                               |    239
 10.26197   | no-pdf-link                   |    303
 10.26197   |                               |    303
 10.26226   |                               |    272
 10.26278   |                               |   1291
 10.26278   | redirect-loop                 |    756
 10.26278   | spn2-error:too-many-redirects |    509
 10.29327   |                               |    232
 10.2991    |                               |    307
 10.2991    | spn2-wayback-error            |    227
 10.30965   |                               |    722
 10.30965   | link-loop                     |    709
 10.3109    |                               |    801
 10.3109    | link-loop                     |    572
 10.3109    | forbidden                     |    228
 10.31219   |                               |    951
 10.31219   | redirect-loop                 |    518
 10.31219   | spn2-wayback-error            |    356
 10.31274   |                               |    296
 10.31743   |                               |    403
 10.31743   | success                       |    294
 10.31857   |                               |    209
 10.3233    |                               |    471
 10.33448   |                               |    213
 10.33448   | success                       |    212
 10.3389    |                               |   1459
 10.3389    | success                       |   1417
 10.3390    |                               |   4511
 10.3390    | success                       |   3577
 10.3390    | terminal-bad-status           |    485
 10.3390    | forbidden                     |    379
 10.3406    |                               |    243
 10.3406    | terminal-bad-status           |    213
 10.34944   |                               |    527
 10.34944   | success                       |    459
 10.35016   |                               |    688
 10.35016   | no-pdf-link                   |    687
 10.36347   | success                       |    213
 10.36347   |                               |    213
 10.37747   |                               |    213
 10.37747   | no-pdf-link                   |    213
 10.37904   |                               |    227
 10.37904   | no-pdf-link                   |    226
 10.3917    |                               |    347
 10.3917    | redirect-loop                 |    208
 10.3923    |                               |    356
 10.3923    | redirect-loop                 |    254
 10.3929    |                               |    317
 10.3929    | terminal-bad-status           |    310
 10.3931    |                               |    279
 10.3931    | no-pdf-link                   |    279
 10.4000    |                               |   7828
 10.4000    | success                       |   3485
 10.4000    | spn2-wayback-error            |   2142
 10.4000    | redirect-loop                 |   2106
 10.4018    |                               |    249
 10.4018    | not-found                     |    240
 10.4103    |                               |    726
 10.4103    | remote-server-error           |    343
 10.4103    | redirect-loop                 |    324
 10.4159    |                               |    286
 10.4159    | link-loop                     |    238
 10.4324    |                               |  19398
 10.4324    | link-loop                     |  12471
 10.4324    | forbidden                     |   3632
 10.4324    | not-found                     |   2283
 10.4324    | terminal-bad-status           |    645
 10.4324    | success                       |    208
 10.47295   |                               |    456
 10.47295   | success                       |    449
 10.47513   |                               |    218
 10.47513   | no-pdf-link                   |    203
 10.48084   | success                       |    538
 10.48084   |                               |    538
 10.5040    |                               |    375
 10.5040    | no-pdf-link                   |    365
 10.5167    |                               |    290
 10.5167    | redirect-loop                 |    278
 10.5169    |                               |    360
 10.5169    | no-pdf-link                   |    355
 10.5194    |                               |    917
 10.5194    | success                       |    887
 10.5216    |                               |    213
 10.5220    | no-pdf-link                   |    397
 10.5220    |                               |    397
 10.5281    |                               |  22551
 10.5281    | terminal-bad-status           |  12158
 10.5281    | success                       |   4901
 10.5281    | no-pdf-link                   |   4754
 10.5281    | spn2-error:unknown            |    360
 10.5282    |                               |    228
 10.5451    |                               |   2068
 10.5451    | success                       |   1071
 10.5451    | terminal-bad-status           |    817
 10.5753    |                               |    268
 10.5753    | success                       |    264
 10.5771    |                               |    941
 10.5771    | no-pdf-link                   |    397
 10.5771    | bad-redirect                  |    269
 10.5771    | link-loop                     |    238
 10.6068    |                               |    441
 10.6068    | no-pdf-link                   |    384
 10.6084    |                               |    917
 10.6084    | no-pdf-link                   |    520
 10.6084    | success                       |    368
 10.7287    |                               |    234
 10.7287    | no-pdf-link                   |    212
 10.7312    |                               |    382
 10.7312    | link-loop                     |    291
 10.7554    |                               |    205
 10.7891    |                               |    380
 10.7891    | no-pdf-link                   |    376
 10.7916    |                               |    331
 10.7916    | no-pdf-link                   |    201
 10.7939    |                               |    535
 10.7939    | no-pdf-link                   |    527
            |                               | 272831
            | success                       |  62298
            | no-pdf-link                   |  60737
            | link-loop                     |  48558
            | redirect-loop                 |  26842
            | terminal-bad-status           |  22685
            | spn2-error:too-many-redirects |  11174
            | forbidden                     |  10900
            | spn2-wayback-error            |   7796
            | blocked-cookie                |   6961
            | not-found                     |   5468
            | bad-redirect                  |   2666
            | spn2-error                    |   2398
            | spn2-cdx-lookup-failure       |   1374
            | petabox-error                 |    678
            | remote-server-error           |    461
            | wrong-mimetype                |    443
            | spn2-error:proxy-error        |    420
            | spn2-error:unknown            |    360
(323 rows)
